Match_ID,Game_Mode,Result,Duration,Radiant_Team,Dire_Team
7952075378,22,Win,1862,"Storm Spirit, Vengeful Spirit, Viper, Shadow Fiend, Sniper","Lina, Phantom Assassin, Jakiro, Nature's Prophet, Ogre Magi"
7951988716,22,Win,2337,"Puck, Wraith King, Venomancer, Spectre, Ogre Magi","Riki, Winter Wyvern, Dragon Knight, Sniper, Lina"
7913656755,22,Loss,3678,"Tinker, Chen, Tidehunter, Hoodwink, Weaver","Sniper, Spectre, Wraith King, Rubick, Ringmaster"
7892432912,22,Loss,2240,"Outworld Destroyer, Slark, Queen of Pain, Hoodwink, Lion","Juggernaut, Witch Doctor, Spirit Breaker, Huskar, Warlock"
7881005215,22,Loss,3072,"Grimstroke, Lich, Doom, Phantom Assassin, Wraith King","Enchantress, Outworld Destroyer, Luna, Phoenix, Abaddon"
7880933748,22,Loss,1705,"Skywrath Mage, Riki, Warlock, Visage, Magnus","Crystal Maiden, Juggernaut, Lion, Mars, Silencer"
7880646184,22,Loss,2559,"Phantom Assassin, Underlord, Rubick, Sand King, Ogre Magi","Juggernaut, Winter Wyvern, Necrophos, Warlock, Wraith King"
7877584787,22,Loss,2237,"Clinkz, Crystal Maiden, Rubick, Earthshaker, Anti-Mage","Sniper, Undying, Slardar, Dark Willow, Bristleback"
7877504039,22,Loss,1633,"Witch Doctor, Viper, Zeus, Pudge, Weaver","Phantom Assassin, Alchemist, Lion, Bristleback, Morphling"
7877417070,22,Loss,2333,"Queen of Pain, Lina, Enigma, Phantom Assassin, Spirit Breaker","Disruptor, Medusa, Rubick, Skywrath Mage, Centaur Warrunner"
7877192916,22,Loss,2281,"Witch Doctor, Queen of Pain, Axe, Sniper, Ember Spirit","Mirana, Lion, Wraith King, Puck, Vengeful Spirit"
7877112635,22,Loss,2609,"Invoker, Sven, Spirit Breaker, Pudge, Sand King","Phantom Assassin, Earthshaker, Disruptor, Warlock, Ember Spirit"
7874908675,22,Loss,3962,"Weaver, Silencer, Phantom Assassin, Zeus, Lion","Night Stalker, Winter Wyvern, Ogre Magi, Outworld Destroyer, Phantom Lancer"
7874655983,22,Loss,2431,"Monkey King, Phantom Assassin, Ogre Magi, Slardar, Vengeful Spirit","Crystal Maiden, Tiny, Keeper of the Light, Death Prophet, Juggernaut"
7873306573,22,Loss,2755,"Outworld Destroyer, Ogre Magi, Jakiro, Abaddon, Sniper","Legion Commander, Crystal Maiden, Tiny, Anti-Mage, Clockwerk"
7869886429,22,Loss,1988,"Luna, Techies, Legion Commander, Necrophos, Crystal Maiden","Tiny, Chaos Knight, Mirana, Snapfire, Grimstroke"
7869548193,22,Loss,2580,"Bounty Hunter, Oracle, Phantom Lancer, Earthshaker, Storm Spirit","Slardar, Rubick, Tiny, Juggernaut, Lion"
7868117277,22,Loss,1877,"Void Spirit, Magnus, Juggernaut, Pudge, Viper","Lion, Enigma, Shadow Fiend, Alchemist, Crystal Maiden"
7868048095,22,Win,2090,"Ember Spirit, Phantom Lancer, Lion, Dark Seer, Lina","Phantom Assassin, Visage, Venomancer, Slardar, Dark Willow"
7867263852,22,Loss,1784,"Witch Doctor, Clockwerk, Meepo, Phantom Assassin, Mirana","Wraith King, Broodmother, Rubick, Legion Commander, Pudge"
7867181120,22,Win,2830,"Underlord, Leshrac, Zeus, Faceless Void, Lina","Lion, Phantom Assassin, Crystal Maiden, Axe, Invoker"
7866616831,22,Loss,2407,"Lina, Marci, Tinker, Spirit Breaker, Warlock","Lich, Juggernaut, Puck, Hoodwink, Vengeful Spirit"
7866565450,22,Loss,2719,"Tiny, Wraith King, Juggernaut, Warlock, Jakiro","Sven, Bane, Axe, Pudge, Lion"
7866235874,22,Win,2180,"Phantom Lancer, Pudge, Dark Seer, Timbersaw, Witch Doctor","Ember Spirit, Bounty Hunter, Venomancer, Ursa, Treant Protector"
7866116805,22,Loss,2276,"Wraith King, Weaver, Venomancer, Vengeful Spirit, Dark Willow","Tiny, Morphling, Enchantress, Lifestealer, Disruptor"
7864656158,22,Loss,2237,"Lina, Viper, Axe, Vengeful Spirit, Juggernaut","Bristleback, Riki, Pudge, Faceless Void, Mirana"
7863045345,22,Loss,3065,"Primal Beast, Wraith King, Oracle, Weaver, Underlord","Pudge, Chaos Knight, Ancient Apparition, Windranger, Dazzle"
7862924889,22,Win,2845,"Monkey King, Sand King, Phantom Lancer, Treant Protector, Silencer","Slardar, Rubick, Witch Doctor, Phantom Assassin, Invoker"
7858052620,22,Loss,1736,"Clinkz, Pudge, Hoodwink, Troll Warlord, Underlord","Tiny, Shadow Shaman, Visage, Juggernaut, Bristleback"
